Código ;Ação;Tipo;Qtde. Teórica;Part. (%)
NEOE3;NEOENERGIA;ON EJ NM;226.115.915;0,15
NTCO3;GRUPO NATURA;ON NM;841.083.922;1,552
ODPV3;ODONTOPREV;ON NM;263.448.316;0,15
OMGE3;OMEGA GER;ON NM;101.631.277;0,154
PARD3;IHPARDINI;ON NM;43.661.030;0,035
PCAR3;P.ACUCAR-CBD;ON NM;157.635.935;0,433
PETR3;PETROBRAS;ON N2;3.684.060.179;4,269
PETR4;PETROBRAS;PN N2;4.566.457.037;5,183
POMO4;MARCOPOLO;PN EJ N2;573.419.889;0,062
POSI3;POSITIVO TEC;ON NM;78.616.498;0,014
PRIO3;PETRORIO;ON NM;135.160.900;0,37
PSSA3;PORTO SEGURO;ON NM;93.637.072;0,164
PTBL3;PORTOBELLO;ON NM;71.281.491;0,017
QUAL3;QUALICORP;ON EJ NM;283.467.789;0,349
RADL3;RAIADROGASIL;ON NM;1.072.645.150;0,979
RAIL3;RUMO S.A.;ON NM;1.218.081.171;0,878
RAPT4;RANDON PART;PN N1;177.421.406;0,104
RCSL4;RECRUSUL;PN;50.414.424;0,003
RENT3;LOCALIZA;ON NM;592.069.308;1,424
RLOG3;COSAN LOG;ON NM;122.209.783;0,089
ROMI3;INDS ROMI;ON NM;37.272.660;0,023
SANB11;SANTANDER BR;UNT;355.666.691;0,6
SAPR11;SANEPAR;UNT EJ N2;200.991.234;0,179
SAPR4;SANEPAR;PN EJ N2;203.503.821;0,036
SBSP3;SABESP;ON NM;339.999.111;0,543
SEER3;SER EDUCA;ON EJ NM;54.346.207;0,03
SIMH3;SIMPAR;ON EJ NM;91.521.691;0,113
SLCE3;SLC AGRICOLA;ON NM;86.086.214;0,097
SMLS3;SMILES;ON NM;58.849.204;0,051
SMTO3;SAO MARTINHO;ON NM;143.032.073;0,155
SOMA3;GRUPO SOMA;ON NM;207.792.500;0,1
SQIA3;SINQIA;ON NM;58.702.058;0,048
STBP3;SANTOS BRP;ON NM;857.995.211;0,173
SULA11;SUL AMERICA;UNT EJ N2;279.572.852;0,431
SUZB3;SUZANO S.A.;ON ATZ NM;724.921.241;1,574
